,date,temperature,pressure,humidity,sunshine
358,2022-01-08 11:30:00,-7.5,763.8,83.0,7.21
359,2022-01-08 12:00:00,-7.3,763.7,83.0,7.21
360,2022-01-08 12:30:00,-7.2,763.7,83.0,7.21
361,2022-01-08 13:00:00,-7.1,763.7,82.0,7.21
362,2022-01-08 13:30:00,-7.0,763.6,82.0,7.21
363,2022-01-08 14:00:00,-7.0,763.6,82.0,7.21
364,2022-01-08 14:30:00,-7.0,763.6,82.0,7.21
365,2022-01-08 15:00:00,-6.8,763.6,82.0,7.21
366,2022-01-08 15:30:00,-6.9,763.6,82.0,7.21
367,2022-01-08 16:00:00,-7.0,763.6,82.0,7.21
368,2022-01-08 16:30:00,-6.9,763.6,82.0,7.21
369,2022-01-08 17:00:00,-6.9,763.6,82.0,7.21
370,2022-01-08 17:30:00,-7.0,763.6,82.0,7.21
371,2022-01-08 18:00:00,-7.0,763.6,82.0,7.21
372,2022-01-08 18:30:00,-7.1,763.7,82.0,7.21
373,2022-01-08 19:00:00,-7.2,763.7,83.0,7.21
374,2022-01-08 19:30:00,-7.3,763.7,83.0,7.21
375,2022-01-08 20:00:00,-7.4,763.8,83.0,7.21
376,2022-01-08 20:30:00,-7.6,763.8,83.0,7.21
377,2022-01-08 21:00:00,-7.7,763.8,83.0,7.21
378,2022-01-08 21:30:00,-7.8,763.9,83.0,7.21
379,2022-01-08 22:00:00,-8.0,763.9,83.0,7.21
380,2022-01-08 22:30:00,-8.1,763.9,83.0,7.21
381,2022-01-08 23:00:00,-8.2,764.0,83.0,7.21
382,2022-01-08 23:30:00,-8.5,764.1,84.0,7.21
383,2022-01-09 00:00:00,-8.6,764.1,84.0,7.21
384,2022-01-09 00:30:00,-8.8,764.1,84.0,7.24
385,2022-01-09 01:00:00,-9.1,764.2,84.0,7.24
386,2022-01-09 01:30:00,-9.2,764.3,84.0,7.24
387,2022-01-09 02:00:00,-9.5,764.3,84.0,7.24
388,2022-01-09 02:30:00,-9.6,764.4,84.0,7.24
389,2022-01-09 03:00:00,-9.7,764.4,84.0,7.24
390,2022-01-09 03:30:00,-9.7,764.4,84.0,7.24
391,2022-01-09 04:00:00,-9.7,764.4,84.0,7.24
392,2022-01-09 04:30:00,-9.7,764.4,84.0,7.24
393,2022-01-09 05:00:00,-9.6,764.4,84.0,7.24
394,2022-01-09 05:30:00,-9.5,764.3,84.0,7.24
395,2022-01-09 06:00:00,-9.5,764.3,84.0,7.24
396,2022-01-09 06:30:00,-9.4,764.3,84.0,7.24
397,2022-01-09 07:00:00,-9.3,764.3,84.0,7.24
398,2022-01-09 07:30:00,-9.2,764.3,84.0,7.24
399,2022-01-09 08:00:00,-9.1,764.2,84.0,7.24
400,2022-01-09 08:30:00,-9.1,764.2,84.0,7.24
401,2022-01-09 09:00:00,-8.9,764.2,84.0,7.24
402,2022-01-09 09:30:00,-8.8,764.1,84.0,7.24
403,2022-01-09 10:00:00,-8.6,764.1,84.0,7.24
404,2022-01-09 10:30:00,-8.5,764.1,84.0,7.24
405,2022-01-09 11:00:00,-8.4,764.0,83.0,7.24
406,2022-01-09 11:30:00,-8.3,764.0,83.0,7.24
407,2022-01-09 12:00:00,-8.2,764.0,83.0,7.24
408,2022-01-09 12:30:00,-8.0,763.9,83.0,7.24
409,2022-01-09 13:00:00,-7.8,763.9,83.0,7.24
410,2022-01-09 13:30:00,-7.8,763.9,83.0,7.24
411,2022-01-09 14:00:00,-7.7,763.8,83.0,7.24
412,2022-01-09 14:30:00,-7.7,763.8,83.0,7.24
413,2022-01-09 15:00:00,-7.7,763.8,83.0,7.24
414,2022-01-09 15:30:00,-7.7,763.8,83.0,7.24
415,2022-01-09 16:00:00,-7.7,763.8,83.0,7.24
416,2022-01-09 16:30:00,-7.8,763.9,83.0,7.24
417,2022-01-09 17:00:00,-7.7,763.8,83.0,7.24
418,2022-01-09 17:30:00,-7.7,763.8,83.0,7.24
419,2022-01-09 18:00:00,-7.9,763.9,83.0,7.24
420,2022-01-09 18:30:00,-8.0,763.9,83.0,7.24
421,2022-01-09 19:00:00,-8.0,763.9,83.0,7.24
422,2022-01-09 19:30:00,-8.2,764.0,83.0,7.24
423,2022-01-09 20:00:00,-8.3,764.0,83.0,7.24
424,2022-01-09 20:30:00,-8.4,764.0,83.0,7.24
425,2022-01-09 21:00:00,-8.5,764.1,84.0,7.24
426,2022-01-09 21:30:00,-8.6,764.1,84.0,7.24
427,2022-01-09 22:00:00,-8.9,764.2,84.0,7.24
428,2022-01-09 22:30:00,-8.9,764.2,84.0,7.24
429,2022-01-09 23:00:00,-9.0,764.2,84.0,7.24
430,2022-01-09 23:30:00,-8.9,764.2,84.0,7.24
431,2022-01-10 00:00:00,-8.8,764.1,84.0,7.24
432,2022-01-10 00:30:00,-8.4,764.0,83.0,7.26
